"policy.id","claim.risk"
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,0
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,1
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,1
741,0
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,1
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,1
812,0
813,1
814,1
815,0
816,0
817,1
818,1
819,0
820,1
821,0
822,1
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,0
831,1
832,0
833,1
834,0
835,1
836,1
837,0
838,1
839,0
840,1
841,0
842,1
843,0
844,1
845,0
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,1
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,0
895,1
896,0
897,1
898,1
899,0
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,0
920,0
921,0
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,1
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,1
982,0
983,1
984,0
985,0
986,1
987,0
988,0
989,0
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,1
998,1
999,1
1000,0
