19,0,1,10,0
9,1,2,60,0
17,0,1,12,0
9,1,2,50,0
15,0,1,16,0
9,1,2,70,0
7,1,2,70,0
10,1,2,40,0
11,3,2,100,0
19,0,1,10,0
9,1,2,60,0
17,0,1,12,0
9,1,2,50,0
15,0,1,16,0
9,1,2,70,0
7,1,2,70,0
10,1,2,40,0
11,3,2,100,0
19,0,1,10,0
9,1,2,60,0
17,0,1,12,0
9,1,2,50,0
15,0,1,16,0
9,1,2,70,0
7,1,2,70,0
10,1,2,40,0
11,3,2,100,0
80,2,0,200,0
65,2,0,170,0
65,2,0,170,0
7,1,2,70,0
65,2,0,170,0
9,1,2,62,0
7,1,2,70,0
44,2,0,170,0
17,0,1,12,0
55,3,3,160,0
8,2,2,65,0
9,1,2,14,0
72,2,0,150,0
17,0,1,12,0
20,0,1,16,0
19,0,1,23,0
80,3,3,300,0